,Date,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,ID
56,2009-01-26,15.7,38.4,0.0,,,S,33.0,SSE,WSW,7.0,7.0,48.0,12.0,1017.7,1014.6,,,23.4,36.5,No,No,57
57,2009-01-27,18.5,38.2,0.0,,,NNE,31.0,SE,NNW,9.0,17.0,48.0,25.0,1017.8,1014.1,,,25.8,36.2,No,No,58
58,2009-01-28,20.4,40.7,0.0,,,N,37.0,E,NNE,7.0,13.0,45.0,15.0,1014.9,1011.6,,,28.2,39.2,No,No,59
59,2009-01-29,21.8,41.5,0.0,,,SW,24.0,ESE,S,6.0,11.0,38.0,13.0,1015.7,1011.8,,,29.0,40.1,No,No,60
60,2009-01-30,22.3,42.9,0.0,,,NNE,28.0,ESE,SE,9.0,11.0,37.0,11.0,1014.6,1010.2,,,29.2,41.2,No,No,61
61,2009-01-31,22.0,42.7,0.0,,,ESE,48.0,ESE,SW,4.0,4.0,33.0,11.0,1014.2,1010.5,,,29.9,42.0,No,No,62
62,2009-02-01,28.0,43.1,0.0,,,SW,83.0,SE,E,15.0,9.0,27.0,9.0,1012.5,1008.7,,,32.4,41.9,No,No,63
63,2009-02-02,24.4,38.3,0.2,,,SW,56.0,NE,NW,19.0,7.0,32.0,21.0,1011.7,1007.4,,,28.8,37.1,No,No,64
64,2009-02-03,21.5,37.7,0.0,,,,,N,,13.0,9.0,51.0,21.0,1009.2,1005.7,,,27.2,36.2,No,No,65
65,2009-02-04,21.7,36.9,0.0,,,,,,,11.0,11.0,53.0,26.0,1008.8,1004.7,,,25.5,35.2,No,No,66
66,2009-02-05,21.5,41.2,0.0,,,WSW,35.0,SSE,S,7.0,19.0,48.0,15.0,1005.9,1002.6,,,26.5,39.7,No,No,67
67,2009-02-06,23.5,42.2,0.0,,,W,37.0,SE,W,6.0,15.0,39.0,8.0,1008.0,1005.0,,,28.7,41.6,No,No,68
68,2009-02-07,22.3,44.8,0.0,,,NNW,59.0,SE,NW,9.0,33.0,36.0,11.0,1008.2,1003.8,,,29.6,43.4,No,No,69
69,2009-02-08,28.3,40.2,0.0,,,NW,52.0,N,W,9.0,22.0,20.0,19.0,1007.0,1006.5,,5.0,34.5,38.5,No,No,70
70,2009-02-09,18.4,31.2,0.4,,,SE,37.0,SW,WSW,7.0,11.0,66.0,31.0,1009.3,1007.8,7.0,8.0,18.7,29.4,No,No,71
71,2009-02-10,14.9,27.3,0.0,,,SSE,41.0,SSE,SE,20.0,13.0,50.0,30.0,1011.6,1008.5,,1.0,17.4,25.8,No,No,72
72,2009-02-11,13.5,26.7,0.0,,,SSE,46.0,SSE,E,19.0,11.0,45.0,24.0,1012.8,1011.1,,,16.7,24.9,No,No,73
73,2009-02-12,16.1,21.6,0.0,,,SE,46.0,SSE,NE,11.0,15.0,58.0,69.0,1017.0,1017.3,2.0,8.0,17.0,17.3,No,Yes,74
74,2009-02-13,14.6,29.0,3.0,,,SSE,41.0,SE,SSE,26.0,24.0,41.0,21.0,1023.3,1019.7,,,18.0,27.6,Yes,No,75
75,2009-02-14,12.4,29.2,0.0,,,NE,39.0,S,,7.0,0.0,37.0,18.0,1022.5,1016.4,,,18.3,28.5,No,No,76
76,2009-02-15,13.3,31.3,0.0,,,NNE,41.0,SSE,SSW,7.0,15.0,50.0,23.0,1016.2,1012.8,,,19.2,29.2,No,No,77
77,2009-02-16,17.2,31.1,0.0,,,E,35.0,SE,ESE,17.0,11.0,43.0,22.0,1017.7,1013.8,,,21.4,29.5,No,No,78
78,2009-02-17,12.5,28.8,0.0,,,N,31.0,SSE,ENE,7.0,11.0,46.0,17.0,1017.2,1013.5,,,18.0,27.0,No,No,79
79,2009-02-18,18.0,32.0,0.0,,,NW,31.0,ENE,SW,4.0,13.0,44.0,22.0,1012.4,1007.5,,,22.1,30.7,No,No,80
80,2009-02-19,16.2,34.0,0.0,,,WSW,48.0,SE,WSW,4.0,22.0,53.0,16.0,1007.8,1004.5,,,21.0,32.7,No,No,81
81,2009-02-20,18.7,29.1,0.0,,,SSW,41.0,NNW,SSE,7.0,17.0,45.0,39.0,1010.1,1010.8,,,21.5,26.8,No,No,82
82,2009-02-21,13.7,31.7,0.0,,,SSE,28.0,SSE,S,2.0,9.0,63.0,19.0,1012.5,1010.4,,,19.3,29.8,No,No,83
83,2009-02-22,15.5,33.2,0.0,,,NW,31.0,S,WNW,11.0,15.0,49.0,23.0,1015.6,1012.4,,,20.9,31.3,No,No,84
84,2009-02-23,14.3,34.0,0.0,,,NW,70.0,SE,NW,6.0,22.0,48.0,10.0,1013.0,1009.2,,,20.7,33.4,No,No,85
85,2009-02-24,12.9,29.6,0.0,,,WNW,46.0,SW,WNW,7.0,24.0,54.0,14.0,1014.0,1012.7,6.0,7.0,18.7,28.6,No,No,86
86,2009-02-25,8.9,31.9,0.0,,,WNW,43.0,,WSW,0.0,17.0,49.0,16.0,1016.6,1013.4,7.0,7.0,15.0,29.3,No,No,87
87,2009-02-26,15.0,32.7,0.0,,,ESE,26.0,ESE,S,15.0,2.0,43.0,19.0,1017.8,1015.0,,,20.7,30.5,No,No,88
88,2009-02-27,15.4,32.6,0.0,,,W,24.0,,S,0.0,6.0,53.0,25.0,1016.2,1012.6,,,20.0,30.8,No,No,89
89,2009-02-28,16.0,34.5,0.0,,,WSW,44.0,E,,6.0,,44.0,14.0,1007.5,1004.6,,,22.2,33.6,No,No,90
90,2009-03-01,12.8,30.3,0.0,,,W,30.0,W,WSW,4.0,13.0,53.0,27.0,1010.5,1008.7,,,17.3,28.1,No,No,91
91,2009-03-02,13.2,31.9,0.0,,,NNW,35.0,S,ENE,6.0,9.0,53.0,25.0,1014.1,1011.6,,,18.0,29.8,No,No,92
92,2009-03-03,18.0,31.1,0.0,,,WNW,52.0,NE,NNE,15.0,26.0,58.0,35.0,1014.7,1009.0,5.0,,23.0,29.2,No,No,93
93,2009-03-04,13.8,22.1,0.2,,,WNW,57.0,W,WNW,26.0,33.0,57.0,26.0,1014.5,1013.1,,,15.6,21.9,No,No,94
94,2009-03-05,11.5,22.0,0.0,,,SW,50.0,WSW,W,19.0,33.0,60.0,33.0,1013.7,1011.8,,,13.9,21.4,No,No,95
95,2009-03-06,7.6,24.0,0.0,,,WSW,30.0,,WNW,0.0,13.0,52.0,23.0,1014.5,1012.0,,,12.6,22.0,No,No,96
96,2009-03-07,8.3,27.9,0.0,,,W,37.0,S,W,4.0,20.0,58.0,22.0,1015.2,1012.4,,,13.3,27.0,No,No,97
97,2009-03-08,11.0,30.2,0.0,,,SSE,24.0,E,SSE,7.0,11.0,54.0,20.0,1017.0,1014.7,,,17.6,28.8,No,No,98
98,2009-03-09,13.8,31.8,0.0,,,NNE,24.0,SSE,NE,6.0,17.0,49.0,28.0,1019.7,1015.9,,,18.6,30.5,No,No,99
99,2009-03-10,15.5,32.0,0.0,,,NE,50.0,ESE,E,2.0,4.0,51.0,25.0,1019.5,1016.2,,,20.1,30.8,No,Yes,100
100,2009-03-11,18.4,30.5,1.2,,,NE,44.0,NE,N,15.0,19.0,57.0,23.0,1021.3,1018.0,,,21.5,29.6,Yes,No,101
101,2009-03-12,20.9,25.7,0.0,,,W,37.0,ENE,S,11.0,9.0,52.0,90.0,1019.5,1018.9,,8.0,22.2,18.8,No,Yes,102
102,2009-03-13,17.1,25.8,5.8,,,ENE,31.0,,S,0.0,13.0,82.0,68.0,1017.4,1014.7,8.0,,19.0,23.8,Yes,Yes,103
103,2009-03-14,16.4,27.0,3.0,,,SW,69.0,E,N,9.0,22.0,82.0,74.0,1012.7,1008.0,,4.0,19.9,19.7,Yes,Yes,104
104,2009-03-15,10.0,19.7,11.6,,,WNW,39.0,W,NW,11.0,17.0,62.0,41.0,1013.4,1012.0,,8.0,12.7,18.3,Yes,No,105
105,2009-03-16,8.8,21.9,0.0,,,W,39.0,S,WNW,2.0,20.0,78.0,34.0,1013.3,1011.6,,6.0,12.2,20.5,No,No,106
106,2009-03-17,8.4,25.3,0.0,,,WNW,35.0,SSE,WSW,9.0,17.0,78.0,34.0,1015.6,1013.2,,,12.1,23.9,No,No,107
107,2009-03-18,9.3,28.0,0.0,,,NW,52.0,SSE,NW,6.0,11.0,76.0,19.0,1017.4,1013.9,,,14.7,27.2,No,No,108
108,2009-03-19,11.3,30.1,0.0,,,WSW,24.0,S,SW,6.0,7.0,56.0,15.0,1016.3,1013.6,,,14.7,29.3,No,No,109
109,2009-03-20,11.5,33.5,0.0,,,SSE,22.0,NE,N,7.0,7.0,50.0,13.0,1016.5,1013.6,,,17.4,32.6,No,No,110
110,2009-03-21,13.8,33.6,0.0,,,NNW,28.0,,NNE,0.0,11.0,47.0,17.0,1017.0,1013.1,,2.0,18.8,33.5,No,No,111
111,2009-03-22,14.6,30.0,0.0,,,NE,37.0,E,NNE,4.0,19.0,56.0,30.0,1014.8,1012.7,3.0,1.0,18.1,29.0,No,No,112
112,2009-03-23,14.4,31.6,0.0,,,NW,37.0,,WNW,0.0,24.0,63.0,25.0,1013.7,1011.8,,,18.8,31.4,No,No,113
113,2009-03-24,10.8,31.9,0.0,,,S,48.0,SSE,WNW,6.0,20.0,62.0,20.0,1016.5,1014.4,,,15.4,30.7,No,No,114
114,2009-03-25,15.4,22.3,0.4,,,ENE,30.0,SSE,SSE,11.0,9.0,69.0,78.0,1017.4,1019.2,8.0,8.0,18.3,19.6,No,Yes,115
115,2009-03-26,13.3,29.8,1.8,,,WSW,33.0,,WNW,0.0,20.0,87.0,26.0,1019.1,1017.2,,6.0,16.2,29.2,Yes,No,116
116,2009-03-27,10.1,27.6,0.0,,,WNW,43.0,,W,0.0,11.0,63.0,30.0,1023.0,1020.7,,,16.5,26.8,No,No,117
117,2009-03-28,9.1,28.9,0.0,,,NNW,24.0,N,N,2.0,17.0,60.0,26.0,1023.8,1020.6,,,14.0,27.7,No,No,118
118,2009-03-29,10.4,31.2,0.0,,,S,22.0,,SE,0.0,6.0,60.0,18.0,1022.4,1019.1,,,16.0,29.9,No,No,119
119,2009-03-30,13.4,30.4,0.0,,,ENE,22.0,,SE,0.0,9.0,57.0,16.0,1023.0,1019.5,,,17.2,29.2,No,No,120
120,2009-03-31,12.3,29.9,0.0,,,WSW,26.0,S,SSW,2.0,13.0,61.0,25.0,1023.2,1019.5,,,17.1,28.6,No,No,121
121,2009-04-01,12.2,30.6,0.0,,,SE,22.0,,ENE,0.0,6.0,59.0,22.0,1022.6,1019.4,,,16.6,29.5,No,No,122
122,2009-04-02,14.3,32.1,0.0,,,NE,28.0,,ENE,0.0,11.0,59.0,30.0,1022.6,1018.4,,,18.4,30.9,No,Yes,123
123,2009-04-03,18.4,28.1,8.6,,,W,98.0,E,NNE,7.0,17.0,92.0,49.0,1018.8,1012.9,8.0,6.0,19.0,27.4,Yes,Yes,124
124,2009-04-04,10.7,21.4,12.6,,,W,43.0,,WSW,0.0,13.0,60.0,33.0,1019.8,1019.3,,,13.9,20.3,Yes,No,125
125,2009-04-05,7.8,21.7,0.0,,,WSW,31.0,E,NW,6.0,19.0,72.0,37.0,1020.4,1016.5,,,12.9,21.2,No,No,126
126,2009-04-06,8.1,21.4,0.0,,,W,35.0,SSE,WSW,13.0,19.0,58.0,20.0,1021.8,1019.6,,,13.8,20.9,No,No,127
127,2009-04-07,7.5,22.5,0.0,,,SE,28.0,S,S,7.0,7.0,55.0,27.0,1026.7,1023.5,,,13.3,21.6,No,No,128
128,2009-04-08,8.2,24.0,0.0,,,SSE,17.0,SSE,SSE,7.0,13.0,60.0,30.0,1027.1,1023.4,,,13.8,23.5,No,No,129
129,2009-04-09,8.1,25.7,0.0,,,ENE,22.0,ESE,S,9.0,13.0,67.0,27.0,1024.2,1019.6,,,15.1,25.0,No,No,130
130,2009-04-10,11.6,26.7,0.0,,,W,48.0,SE,NE,6.0,11.0,59.0,42.0,1021.5,1017.7,8.0,7.0,16.4,24.3,No,Yes,131
131,2009-04-11,13.0,24.9,8.4,,,W,46.0,S,E,6.0,11.0,75.0,47.0,1024.4,1020.3,8.0,6.0,18.0,24.4,Yes,Yes,132
132,2009-04-12,13.5,24.2,6.2,,,WSW,20.0,,SE,0.0,6.0,88.0,52.0,1024.1,1020.8,8.0,,15.4,23.1,Yes,No,133
133,2009-04-13,9.9,25.4,0.0,,,NNE,19.0,ENE,SSW,4.0,7.0,65.0,35.0,1023.0,1018.7,,,16.1,25.0,No,No,134
134,2009-04-14,12.2,25.0,0.0,,,WNW,30.0,,W,0.0,15.0,68.0,39.0,1016.3,1011.6,6.0,,16.2,24.6,No,No,135
135,2009-04-15,10.7,21.9,0.0,,,W,63.0,NW,W,26.0,31.0,44.0,27.0,1008.2,1009.8,2.0,,20.5,18.9,No,No,136
136,2009-04-16,3.5,20.0,0.0,,,W,31.0,,WNW,0.0,13.0,65.0,30.0,1016.3,1012.8,,,9.6,19.4,No,No,137
137,2009-04-17,6.6,21.6,0.0,,,WNW,26.0,ENE,W,6.0,11.0,59.0,39.0,1018.5,1016.8,5.0,1.0,12.6,21.6,No,No,138
138,2009-04-18,7.0,23.4,0.0,,,W,24.0,SSE,W,2.0,17.0,73.0,37.0,1022.8,1019.3,,,12.4,22.9,No,No,139
139,2009-04-19,11.2,23.9,0.0,,,SE,31.0,SE,SE,13.0,15.0,54.0,33.0,1022.7,1019.6,,,18.0,23.6,No,No,140
140,2009-04-20,7.4,22.0,0.0,,,SSE,28.0,SE,SE,2.0,7.0,58.0,29.0,1023.6,1020.0,,,14.1,21.3,No,No,141
141,2009-04-21,5.7,21.4,0.0,,,ESE,17.0,ENE,SSE,6.0,7.0,68.0,39.0,1025.2,1020.9,,,12.2,20.9,No,No,142
142,2009-04-22,6.2,22.7,0.0,,,ESE,17.0,,SW,0.0,7.0,73.0,33.0,1026.0,1021.6,,,11.2,22.3,No,No,143
143,2009-04-23,6.0,22.9,0.0,,,NE,33.0,,NE,0.0,20.0,68.0,34.0,1021.3,1015.7,,,12.9,22.6,No,No,144
144,2009-04-24,10.6,16.2,0.0,,,WNW,39.0,ESE,NNE,7.0,4.0,74.0,86.0,1008.9,1002.4,8.0,8.0,14.9,15.1,No,Yes,145
145,2009-04-25,12.9,15.8,20.0,,,W,70.0,WNW,NNW,19.0,15.0,83.0,89.0,1004.8,1000.9,8.0,8.0,13.3,14.5,Yes,Yes,146
146,2009-04-26,8.6,12.9,21.0,,,NNW,63.0,NW,WNW,26.0,31.0,77.0,62.0,1004.0,1003.3,8.0,8.0,9.5,11.6,Yes,Yes,147
147,2009-04-27,4.5,11.5,3.2,,,NW,26.0,N,NNW,9.0,13.0,82.0,79.0,1013.8,1013.5,8.0,8.0,7.6,9.4,Yes,Yes,148
148,2009-04-28,7.6,14.5,4.8,,,WNW,35.0,W,W,15.0,20.0,83.0,48.0,1018.0,1018.3,8.0,1.0,10.1,14.0,Yes,No,149
149,2009-04-29,5.4,12.2,0.0,,,SSE,19.0,SE,SSE,9.0,7.0,62.0,46.0,1023.1,1020.9,,8.0,8.2,12.1,No,No,150
150,2009-04-30,2.1,16.5,0.0,,,SW,19.0,,SW,0.0,7.0,70.0,38.0,1023.4,1021.5,,,7.9,16.1,No,No,151
151,2009-05-01,1.8,17.0,0.0,,,SW,19.0,,WSW,0.0,7.0,77.0,44.0,1026.0,1023.2,,,7.2,16.3,No,No,152
152,2009-05-02,7.2,19.2,0.0,,,SW,22.0,ENE,W,7.0,6.0,81.0,49.0,1026.9,1024.0,8.0,4.0,10.1,19.1,No,No,153
153,2009-05-03,4.6,18.9,0.0,,,S,15.0,N,SSE,4.0,7.0,75.0,51.0,1028.7,1025.9,,,10.6,18.5,No,No,154
154,2009-05-04,4.2,19.1,0.0,,,W,19.0,ENE,WSW,6.0,13.0,86.0,44.0,1029.8,1027.3,,,9.6,18.8,No,No,155
155,2009-05-05,5.2,18.8,0.0,,,ESE,15.0,,SE,0.0,7.0,71.0,47.0,1031.4,1028.1,,,10.3,18.4,No,No,156
156,2009-05-06,4.1,19.3,0.0,,,SW,20.0,ENE,WNW,6.0,7.0,82.0,49.0,1028.5,1024.6,,,10.0,19.2,No,No,157
157,2009-05-07,3.2,18.4,0.0,,,SW,20.0,SE,WNW,6.0,11.0,86.0,49.0,1026.2,1023.6,,,8.3,18.2,No,No,158
158,2009-05-08,4.3,19.0,0.0,,,W,15.0,,W,0.0,9.0,68.0,36.0,1028.8,1025.8,,,11.0,18.5,No,No,159
159,2009-05-09,3.7,20.5,0.0,,,W,17.0,,WSW,0.0,7.0,78.0,45.0,1026.0,1021.8,,,9.4,20.2,No,No,160
160,2009-05-10,5.4,19.5,0.0,,,SE,17.0,,SE,0.0,7.0,69.0,40.0,1025.1,1022.3,,,11.7,19.1,No,No,161
161,2009-05-11,4.3,17.7,0.0,,,ESE,15.0,NNW,S,6.0,7.0,89.0,53.0,1025.6,1022.2,8.0,,8.5,17.7,No,No,162
162,2009-05-12,3.6,18.5,0.0,,,W,26.0,ENE,WNW,4.0,17.0,81.0,49.0,1022.3,1018.5,,,9.1,18.0,No,No,163
163,2009-05-13,3.6,15.1,0.0,,,WNW,28.0,SE,W,4.0,17.0,86.0,61.0,1018.4,1015.7,,8.0,7.5,14.6,No,No,164
164,2009-05-14,6.9,16.3,0.0,,,WNW,35.0,WNW,WNW,17.0,19.0,77.0,59.0,1015.3,1013.1,8.0,8.0,10.3,15.3,No,No,165
165,2009-05-15,10.3,16.6,0.0,,,WNW,54.0,NW,NW,13.0,19.0,82.0,63.0,1015.0,1011.0,8.0,7.0,12.9,15.9,No,Yes,166
166,2009-05-16,12.4,16.4,1.8,,,W,52.0,W,WSW,22.0,24.0,82.0,54.0,1011.8,1013.4,8.0,8.0,13.0,14.5,Yes,No,167
167,2009-05-17,3.0,15.6,0.0,,,W,20.0,E,E,6.0,9.0,83.0,61.0,1022.5,1019.3,4.0,,7.0,14.7,No,No,168
168,2009-05-18,2.6,19.7,0.0,,,E,13.0,,ENE,0.0,4.0,82.0,34.0,1024.7,1021.2,,,8.8,18.7,No,No,169
169,2009-05-19,3.7,19.1,0.0,,,SSE,19.0,,SSE,0.0,11.0,87.0,51.0,1023.6,1019.9,,,7.4,18.9,No,No,170
170,2009-05-20,5.1,18.6,0.0,,,E,13.0,SSE,ENE,2.0,9.0,75.0,57.0,1022.8,1020.5,7.0,7.0,12.4,18.0,No,No,171
